iso_time,unix_time,temp_C
2026-01-16T12:39:30.712,1768534770,68.3
2026-01-16T12:39:31.352,1768534771,67.2
2026-01-16T12:39:31.900,1768534771,68.85
2026-01-16T12:39:32.876,1768534772,67.75
2026-01-16T12:39:33.548,1768534773,67.75
2026-01-16T12:39:34.176,1768534774,67.2
2026-01-16T12:39:34.760,1768534774,68.85
2026-01-16T12:39:35.364,1768534775,67.75
2026-01-16T12:39:36.100,1768534776,67.75
2026-01-16T12:39:36.680,1768534776,68.85
2026-01-16T12:39:37.316,1768534777,68.85
2026-01-16T12:39:38.100,1768534778,67.75
2026-01-16T12:39:38.640,1768534778,68.85
2026-01-16T12:39:39.328,1768534779,69.4
2026-01-16T12:39:39.924,1768534779,69.4
2026-01-16T12:39:40.548,1768534780,69.4
2026-01-16T12:39:41.176,1768534781,68.85
2026-01-16T12:39:41.760,1768534781,68.85
2026-01-16T12:39:42.336,1768534782,68.3
2026-01-16T12:39:42.960,1768534782,69.4
2026-01-16T12:39:43.480,1768534783,69.4
2026-01-16T12:39:44.072,1768534784,67.75
2026-01-16T12:39:44.588,1768534784,69.95
2026-01-16T12:39:45.216,1768534785,69.95
2026-01-16T12:39:45.796,1768534785,69.4
2026-01-16T12:39:46.456,1768534786,68.85
2026-01-16T12:39:47.064,1768534787,69.95
2026-01-16T12:39:47.660,1768534787,69.95
2026-01-16T12:39:48.204,1768534788,69.95
2026-01-16T12:39:48.740,1768534788,69.95
2026-01-16T12:39:49.284,1768534789,68.3
2026-01-16T12:39:49.964,1768534789,70.5
2026-01-16T12:39:50.532,1768534790,70.5
2026-01-16T12:39:51.168,1768534791,69.95
2026-01-16T12:39:51.700,1768534791,70.5
2026-01-16T12:39:52.316,1768534792,69.4
2026-01-16T12:39:52.892,1768534792,69.95
2026-01-16T12:39:53.504,1768534793,68.3
2026-01-16T12:39:54.008,1768534794,69.95
2026-01-16T12:39:54.640,1768534794,69.95
2026-01-16T12:39:55.276,1768534795,69.4
2026-01-16T12:40:00.236,1768534800,68.85
2026-01-16T12:40:00.768,1768534800,69.95
2026-01-16T12:40:01.388,1768534801,68.85
2026-01-16T12:40:01.948,1768534801,71.05
2026-01-16T12:40:02.504,1768534802,69.95
2026-01-16T12:40:03.032,1768534803,70.5
2026-01-16T12:40:03.640,1768534803,69.4
2026-01-16T12:40:04.196,1768534804,70.5
2026-01-16T12:40:09.732,1768534809,71.6
2026-01-16T12:40:10.684,1768534810,71.05
2026-01-16T12:40:11.264,1768534811,69.95
2026-01-16T12:40:11.848,1768534811,71.6
2026-01-16T12:40:12.400,1768534812,71.6
2026-01-16T12:40:12.972,1768534812,71.05
2026-01-16T12:40:13.560,1768534813,69.95
2026-01-16T12:40:14.092,1768534814,69.95
2026-01-16T12:40:14.652,1768534814,71.05
2026-01-16T12:40:15.348,1768534815,70.5
2026-01-16T12:40:16.000,1768534816,69.95
2026-01-16T12:40:16.508,1768534816,71.6
2026-01-16T12:40:17.020,1768534817,71.05
2026-01-16T12:40:17.600,1768534817,71.05
2026-01-16T12:40:18.184,1768534818,71.6
2026-01-16T12:40:18.796,1768534818,70.5
2026-01-16T12:40:19.512,1768534819,72.15
2026-01-16T12:40:20.052,1768534820,71.6
2026-01-16T12:40:20.772,1768534820,71.6
2026-01-16T12:40:21.308,1768534821,69.4
2026-01-16T12:40:21.852,1768534821,71.6
2026-01-16T12:40:22.460,1768534822,71.05
2026-01-16T12:40:22.980,1768534822,72.15
2026-01-16T12:40:23.588,1768534823,70.5
2026-01-16T12:40:24.196,1768534824,71.6
2026-01-16T12:40:24.932,1768534824,71.05
2026-01-16T12:40:25.476,1768534825,71.6
2026-01-16T12:40:25.988,1768534825,72.15
2026-01-16T12:40:26.496,1768534826,71.6
2026-01-16T12:40:27.064,1768534827,71.6
2026-01-16T12:40:27.624,1768534827,72.15
2026-01-16T12:40:28.684,1768534828,72.15
2026-01-16T12:40:29.212,1768534829,72.15
2026-01-16T12:40:29.716,1768534829,71.6
2026-01-16T12:40:30.356,1768534830,71.05
2026-01-16T12:40:30.960,1768534830,72.7
2026-01-16T12:40:31.548,1768534831,72.15
2026-01-16T12:40:32.200,1768534832,72.15
2026-01-16T12:40:32.764,1768534832,72.15
2026-01-16T12:40:33.336,1768534833,71.05
2026-01-16T12:40:33.976,1768534833,72.15
2026-01-16T12:40:34.564,1768534834,71.05
2026-01-16T12:40:35.196,1768534835,71.6
2026-01-16T12:40:35.736,1768534835,71.05
2026-01-16T12:40:36.268,1768534836,71.6
2026-01-16T12:40:36.876,1768534836,72.15
2026-01-16T12:40:37.540,1768534837,72.15
2026-01-16T12:40:38.124,1768534838,71.6
2026-01-16T12:40:38.660,1768534838,70.5
2026-01-16T12:40:39.168,1768534839,72.7
2026-01-16T12:40:39.768,1768534839,72.7
2026-01-16T12:40:40.316,1768534840,72.15
2026-01-16T12:40:40.912,1768534840,72.7
2026-01-16T12:40:41.532,1768534841,71.6
2026-01-16T12:40:42.084,1768534842,71.6
2026-01-16T12:40:42.656,1768534842,72.7
2026-01-16T12:40:43.212,1768534843,71.05
2026-01-16T12:40:43.932,1768534843,72.15
2026-01-16T12:40:44.448,1768534844,72.15
2026-01-16T12:40:45.036,1768534845,71.6
2026-01-16T12:40:45.544,1768534845,72.15
2026-01-16T12:40:46.216,1768534846,72.7
2026-01-16T12:40:46.764,1768534846,72.7
2026-01-16T12:40:47.288,1768534847,72.7
2026-01-16T12:40:47.800,1768534847,72.15
2026-01-16T12:40:48.324,1768534848,72.7
2026-01-16T12:40:48.836,1768534848,71.05
2026-01-16T12:40:49.340,1768534849,73.25
2026-01-16T12:40:49.848,1768534849,72.7
2026-01-16T12:40:50.368,1768534850,72.7
2026-01-16T12:40:50.892,1768534850,71.05
2026-01-16T12:40:51.412,1768534851,71.05
2026-01-16T12:40:51.916,1768534851,72.15
2026-01-16T12:40:52.432,1768534852,72.7
2026-01-16T12:40:52.952,1768534852,72.15
2026-01-16T12:40:53.480,1768534853,71.6
2026-01-16T12:40:53.996,1768534853,72.15
2026-01-16T12:40:54.500,1768534854,72.7
2026-01-16T12:40:55.032,1768534855,71.6
2026-01-16T12:40:55.536,1768534855,71.6
2026-01-16T12:40:56.100,1768534856,71.6
2026-01-16T12:40:56.608,1768534856,72.7
2026-01-16T12:40:57.128,1768534857,72.7
2026-01-16T12:40:57.776,1768534857,72.7
2026-01-16T12:40:58.308,1768534858,72.7
2026-01-16T12:40:58.880,1768534858,72.7
2026-01-16T12:40:59.460,1768534859,72.7
2026-01-16T12:40:59.972,1768534859,72.15
2026-01-16T12:41:00.480,1768534860,71.6
2026-01-16T12:41:00.984,1768534860,72.7
2026-01-16T12:41:01.524,1768534861,71.6
2026-01-16T12:41:02.044,1768534862,73.25
2026-01-16T12:41:02.604,1768534862,73.25
2026-01-16T12:41:03.112,1768534863,73.25
2026-01-16T12:41:03.700,1768534863,72.7
2026-01-16T12:41:04.232,1768534864,73.25
2026-01-16T12:41:04.740,1768534864,73.25
2026-01-16T12:41:05.252,1768534865,73.25
2026-01-16T12:41:05.760,1768534865,72.7
2026-01-16T12:41:06.264,1768534866,72.7
2026-01-16T12:41:06.768,1768534866,73.8
2026-01-16T12:41:07.272,1768534867,73.25
2026-01-16T12:41:07.780,1768534867,73.8
2026-01-16T12:41:08.288,1768534868,73.8
2026-01-16T12:41:08.792,1768534868,73.25
2026-01-16T12:41:09.304,1768534869,73.8
2026-01-16T12:41:09.808,1768534869,73.8
2026-01-16T12:41:10.336,1768534870,72.15
2026-01-16T12:41:10.844,1768534870,73.8
2026-01-16T12:41:11.348,1768534871,72.15
2026-01-16T12:41:11.852,1768534871,73.8
2026-01-16T12:41:12.356,1768534872,73.8
2026-01-16T12:41:12.868,1768534872,73.8
2026-01-16T12:41:13.376,1768534873,73.8
2026-01-16T12:41:13.912,1768534873,72.7
2026-01-16T12:41:14.440,1768534874,73.8
2026-01-16T12:41:14.944,1768534874,73.8
2026-01-16T12:41:15.534,1768534875,72.15
2026-01-16T12:41:16.036,1768534876,73.25
2026-01-16T12:41:16.544,1768534876,73.8
2026-01-16T12:41:17.104,1768534877,72.7
2026-01-16T12:41:17.608,1768534877,72.15
2026-01-16T12:41:18.138,1768534878,73.25
2026-01-16T12:41:18.680,1768534878,72.15
2026-01-16T12:41:19.184,1768534879,73.25
2026-01-16T12:41:19.688,1768534879,73.8
2026-01-16T12:41:20.200,1768534880,73.25
2026-01-16T12:41:20.704,1768534880,74.35
2026-01-16T12:41:21.212,1768534881,73.25
2026-01-16T12:41:21.716,1768534881,73.8
2026-01-16T12:41:22.220,1768534882,73.25
2026-01-16T12:41:22.728,1768534882,73.8
2026-01-16T12:41:23.284,1768534883,74.35
2026-01-16T12:41:23.788,1768534883,73.25
2026-01-16T12:41:24.296,1768534884,73.8
2026-01-16T12:41:24.800,1768534884,73.25
2026-01-16T12:41:25.308,1768534885,73.8
2026-01-16T12:41:25.832,1768534885,73.8
