iso_time,temp_c
2025-11-22T14:17:43+09:00,52.35
2025-11-22T14:17:51+09:00,54.55
2025-11-22T14:18:56+09:00,53.45
2025-11-22T14:19:01+09:00,55.1
2025-11-22T14:19:26+09:00,54
2025-11-22T14:19:43+09:00,52.9
2025-11-22T14:20:19+09:00,54.55
2025-11-22T14:20:26+09:00,55.1
2025-11-22T14:20:59+09:00,53.45
2025-11-22T14:21:06+09:00,55.65
2025-11-22T14:21:45+09:00,56.75
2025-11-22T14:22:12+09:00,55.1
2025-11-22T14:22:42+09:00,54.55
2025-11-22T14:23:08+09:00,55.1
2025-11-22T14:23:39+09:00,55.65
2025-11-22T14:23:48+09:00,56.75
2025-11-22T14:24:22+09:00,55.1
2025-11-22T14:24:30+09:00,55.65
2025-11-22T14:24:33+09:00,56.2
2025-11-22T14:24:38+09:00,53.45
2025-11-22T14:25:10+09:00,56.2
2025-11-22T14:25:15+09:00,55.1
2025-11-22T14:25:50+09:00,57.3
2025-11-22T14:25:54+09:00,57.3
2025-11-22T14:26:31+09:00,56.75
2025-11-22T14:26:37+09:00,57.3
2025-11-22T14:27:14+09:00,56.75
2025-11-22T14:27:19+09:00,54.55
2025-11-22T14:27:54+09:00,56.2
2025-11-22T14:27:55+09:00,58.95
2025-11-22T14:28:25+09:00,56.75
2025-11-22T14:28:34+09:00,57.85
2025-11-22T14:28:36+09:00,56.2
2025-11-22T14:29:03+09:00,54.55
2025-11-22T14:29:14+09:00,55.65
2025-11-22T14:29:20+09:00,58.95
2025-11-22T14:29:42+09:00,56.75
2025-11-22T14:29:54+09:00,57.3
2025-11-22T14:30:15+09:00,55.65
2025-11-22T14:30:37+09:00,56.2
2025-11-22T14:30:56+09:00,57.85
2025-11-22T14:31:13+09:00,56.2
2025-11-22T14:31:15+09:00,56.75
2025-11-22T14:31:19+09:00,57.85
2025-11-22T14:31:53+09:00,55.1
2025-11-22T14:31:58+09:00,55.1
2025-11-22T14:32:20+09:00,55.1
