iso_time,temp_c
2025-11-22T14:36:44+09:00,56.2
2025-11-22T14:36:45+09:00,59.5
2025-11-22T14:36:52+09:00,59.5
2025-11-22T14:37:01+09:00,59.5
2025-11-22T14:37:09+09:00,58.4
2025-11-22T14:37:17+09:00,60.05
2025-11-22T14:37:23+09:00,58.95
2025-11-22T14:37:30+09:00,60.05
2025-11-22T14:37:34+09:00,61.15
2025-11-22T14:37:41+09:00,60.05
2025-11-22T14:37:49+09:00,58.95
2025-11-22T14:37:58+09:00,61.15
2025-11-22T14:38:06+09:00,59.5
2025-11-22T14:38:14+09:00,60.05
2025-11-22T14:38:21+09:00,58.95
2025-11-22T14:38:23+09:00,61.15
2025-11-22T14:38:30+09:00,60.6
2025-11-22T14:38:38+09:00,61.15
2025-11-22T14:38:45+09:00,61.15
2025-11-22T14:38:53+09:00,60.05
2025-11-22T14:39:02+09:00,61.15
2025-11-22T14:39:10+09:00,61.15
2025-11-22T14:39:12+09:00,61.15
2025-11-22T14:39:19+09:00,61.15
2025-11-22T14:39:27+09:00,60.05
2025-11-22T14:39:35+09:00,60.6
2025-11-22T14:39:44+09:00,60.6
2025-11-22T14:39:52+09:00,61.15
2025-11-22T14:40:00+09:00,60.6
2025-11-22T14:40:02+09:00,60.6
2025-11-22T14:40:09+09:00,60.6
2025-11-22T14:40:17+09:00,60.6
2025-11-22T14:40:25+09:00,61.7
2025-11-22T14:40:33+09:00,61.15
2025-11-22T14:40:42+09:00,61.7
2025-11-22T14:40:49+09:00,62.25
2025-11-22T14:40:51+09:00,62.25
2025-11-22T14:40:59+09:00,61.7
2025-11-22T14:41:07+09:00,60.6
2025-11-22T14:41:15+09:00,62.25
2025-11-22T14:41:22+09:00,61.7
2025-11-22T14:41:30+09:00,61.7
2025-11-22T14:41:39+09:00,63.35
2025-11-22T14:41:41+09:00,61.15
2025-11-22T14:41:48+09:00,61.7
2025-11-22T14:41:55+09:00,62.8
2025-11-22T14:42:03+09:00,62.25
2025-11-22T14:42:12+09:00,62.8
2025-11-22T14:42:21+09:00,62.25
2025-11-22T14:42:28+09:00,62.8
2025-11-22T14:42:29+09:00,61.7
2025-11-22T14:42:36+09:00,62.25
2025-11-22T14:42:43+09:00,62.25
2025-11-22T14:42:51+09:00,62.8
2025-11-22T14:42:59+09:00,62.25
2025-11-22T14:43:07+09:00,62.8
2025-11-22T14:43:14+09:00,61.15
2025-11-22T14:43:19+09:00,62.8
2025-11-22T14:43:25+09:00,62.8
2025-11-22T14:43:33+09:00,62.8
2025-11-22T14:43:40+09:00,62.8
2025-11-22T14:43:49+09:00,62.8
2025-11-22T14:43:57+09:00,62.8
2025-11-22T14:44:06+09:00,62.8
2025-11-22T14:44:08+09:00,63.35
2025-11-22T14:44:15+09:00,62.8
2025-11-22T14:44:24+09:00,63.35
2025-11-22T14:44:32+09:00,62.8
2025-11-22T14:44:39+09:00,61.7
2025-11-22T14:44:47+09:00,62.8
2025-11-22T14:44:54+09:00,63.35
2025-11-22T14:44:57+09:00,62.25
2025-11-22T14:45:03+09:00,62.8
2025-11-22T14:45:12+09:00,61.7
2025-11-22T14:45:19+09:00,63.35
2025-11-22T14:45:27+09:00,62.8
2025-11-22T14:45:35+09:00,61.7
2025-11-22T14:45:44+09:00,62.25
2025-11-22T14:45:46+09:00,62.25
2025-11-22T14:45:53+09:00,63.35
2025-11-22T14:46:01+09:00,63.35
2025-11-22T14:46:08+09:00,63.35
2025-11-22T14:46:17+09:00,62.25
2025-11-22T14:46:25+09:00,62.25
2025-11-22T14:46:33+09:00,63.35
2025-11-22T14:46:35+09:00,63.35
2025-11-22T14:46:42+09:00,62.25
2025-11-22T14:46:51+09:00,61.7
2025-11-22T14:47:00+09:00,63.35
2025-11-22T14:47:07+09:00,63.35
2025-11-22T14:47:15+09:00,62.8
2025-11-22T14:47:23+09:00,62.25
2025-11-22T14:47:24+09:00,63.9
2025-11-22T14:47:31+09:00,63.35
2025-11-22T14:47:39+09:00,62.8
2025-11-22T14:47:48+09:00,61.7
2025-11-22T14:47:57+09:00,62.8
2025-11-22T14:48:05+09:00,62.25
2025-11-22T14:48:12+09:00,62.8
2025-11-22T14:48:15+09:00,62.8
2025-11-22T14:48:23+09:00,61.7
2025-11-22T14:48:31+09:00,63.35
2025-11-22T14:48:39+09:00,63.35
2025-11-22T14:48:48+09:00,62.8
2025-11-22T14:48:58+09:00,63.9
2025-11-22T14:49:03+09:00,63.9
2025-11-22T14:49:04+09:00,62.8
2025-11-22T14:49:10+09:00,61.7
2025-11-22T14:49:19+09:00,61.7
2025-11-22T14:49:26+09:00,63.35
2025-11-22T14:49:33+09:00,63.35
2025-11-22T14:49:41+09:00,62.8
2025-11-22T14:49:50+09:00,62.25
2025-11-22T14:49:54+09:00,63.9
2025-11-22T14:50:00+09:00,62.25
2025-11-22T14:50:09+09:00,63.35
2025-11-22T14:50:18+09:00,63.35
2025-11-22T14:50:26+09:00,63.35
2025-11-22T14:50:34+09:00,62.8
2025-11-22T14:50:42+09:00,62.8
2025-11-22T14:50:43+09:00,62.8
2025-11-22T14:50:49+09:00,63.35
2025-11-22T14:50:57+09:00,62.8
2025-11-22T14:51:04+09:00,63.35
2025-11-22T14:51:13+09:00,63.9
2025-11-22T14:51:22+09:00,63.35
2025-11-22T14:51:28+09:00,62.25
2025-11-22T14:51:32+09:00,62.8
